[admin.py:29] - 2024-03-02 19:27:51,391 - INFO - isUserAdmin - CheckTokenMembership returned: False
[builder.pyw:559] - 2024-03-02 19:27:51,391 - ERROR - File must be run with admin privileges
[admin.py:70] - 2024-03-02 19:27:51,410 - DEBUG - Defaulting to runAsAdmin command line: ['C:\\Users\\vboxuser\\AppData\\Local\\Programs\\Python\\Python310\\pythonw.exe', 'C:\\Users\\vboxuser\\Desktop\\Luna-Grabber-main\\builder.pyw']
[admin.py:80] - 2024-03-02 19:27:51,410 - INFO - Running command 'C:\\Users\\vboxuser\\AppData\\Local\\Programs\\Python\\Python310\\pythonw.exe' - 'C:\\Users\\vboxuser\\Desktop\\Luna-Grabber-main\\builder.pyw'
[admin.py:29] - 2024-03-02 19:27:52,837 - INFO - isUserAdmin - CheckTokenMembership returned: True
[PngImagePlugin.py:202] - 2024-03-02 19:27:53,062 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2024-03-02 19:27:53,062 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2024-03-02 19:27:53,062 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:202] - 2024-03-02 19:27:53,063 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2024-03-02 19:27:53,063 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2024-03-02 19:27:53,063 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:202] - 2024-03-02 19:27:53,063 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2024-03-02 19:27:53,063 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2024-03-02 19:27:53,063 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:202] - 2024-03-02 19:27:53,064 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2024-03-02 19:27:53,064 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2024-03-02 19:27:53,064 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:202] - 2024-03-02 19:27:53,064 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:202] - 2024-03-02 19:27:53,064 - DEBUG - STREAM b'IDAT' 91 766
[PngImagePlugin.py:202] - 2024-03-02 19:27:53,066 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2024-03-02 19:27:53,066 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2024-03-02 19:27:53,066 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:202] - 2024-03-02 19:27:53,066 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:202] - 2024-03-02 19:27:53,066 - DEBUG - STREAM b'IDAT' 91 601
[PngImagePlugin.py:202] - 2024-03-02 19:27:53,067 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2024-03-02 19:27:53,067 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2024-03-02 19:27:53,067 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:202] - 2024-03-02 19:27:53,067 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:202] - 2024-03-02 19:27:53,067 - DEBUG - STREAM b'IDAT' 91 1063
[admin.py:92] - 2024-03-02 19:27:53,132 - INFO - Process handle <PyHANDLE:1472> returned code 1
[admin.py:29] - 2024-03-02 19:33:07,517 - INFO - isUserAdmin - CheckTokenMembership returned: False
[builder.pyw:559] - 2024-03-02 19:33:07,517 - ERROR - File must be run with admin privileges
[admin.py:70] - 2024-03-02 19:33:07,535 - DEBUG - Defaulting to runAsAdmin command line: ['C:\\Users\\vboxuser\\AppData\\Local\\Programs\\Python\\Python310\\pythonw.exe', 'C:\\Users\\vboxuser\\Desktop\\Luna-Grabber-main\\builder.pyw']
[admin.py:80] - 2024-03-02 19:33:07,535 - INFO - Running command 'C:\\Users\\vboxuser\\AppData\\Local\\Programs\\Python\\Python310\\pythonw.exe' - 'C:\\Users\\vboxuser\\Desktop\\Luna-Grabber-main\\builder.pyw'
[admin.py:29] - 2024-03-02 19:33:09,037 - INFO - isUserAdmin - CheckTokenMembership returned: True
